geo_code,csd_name,topic,characteristic,total,year
5959810,Prophet River 4,Labour force activity,Unemployment rate,NA,2006
5959810,Prophet River 4,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5959810,Prophet River 4,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5901003,Elkford,Labour force status,Employment rate,67.5,2011
5901003,Elkford,Labour force status,Unemployment rate,4.2,2011
5901003,Elkford,Income of individuals in 2010,Median income ($),40130,2011
5901003,Elkford,Income of individuals in 2010,Median total income ($),50921,2011
5901003,Elkford,Income of households in 2010,Median household total income ($),110546,2011
5901003,Elkford,Income of households in 2010,Median household total income ($),48880,2011
5901003,Elkford,Income of households in 2010,Median household total income ($),120262,2011
5901006,Sparwood,Labour force status,Employment rate,65,2011
5901006,Sparwood,Labour force status,Unemployment rate,5.6,2011
5901006,Sparwood,Income of individuals in 2010,Median income ($),34675,2011
5901006,Sparwood,Income of individuals in 2010,Median total income ($),33578,2011
5901006,Sparwood,Income of households in 2010,Median household total income ($),85778,2011
5901006,Sparwood,Income of households in 2010,Median household total income ($),37758,2011
5901006,Sparwood,Income of households in 2010,Median household total income ($),105815,2011
5901012,Fernie,Labour force status,Employment rate,71.5,2011
5901012,Fernie,Labour force status,Unemployment rate,3.7,2011
5901012,Fernie,Income of individuals in 2010,Median income ($),34402,2011
5901012,Fernie,Income of individuals in 2010,Median total income ($),26746,2011
5901012,Fernie,Income of households in 2010,Median household total income ($),80358,2011
5901012,Fernie,Income of households in 2010,Median household total income ($),33003,2011
5901012,Fernie,Income of households in 2010,Median household total income ($),91325,2011
5901022,Cranbrook,Labour force status,Employment rate,58.6,2011
5901022,Cranbrook,Labour force status,Unemployment rate,7.2,2011
5901022,Cranbrook,Income of individuals in 2010,Median income ($),29311,2011
5901022,Cranbrook,Income of individuals in 2010,Median total income ($),27232,2011
5901022,Cranbrook,Income of households in 2010,Median household total income ($),57700,2011
5901022,Cranbrook,Income of households in 2010,Median household total income ($),28814,2011
5901022,Cranbrook,Income of households in 2010,Median household total income ($),71568,2011
5901028,Kimberley,Labour force status,Employment rate,54.4,2011
5901028,Kimberley,Labour force status,Unemployment rate,9.2,2011
5901028,Kimberley,Income of individuals in 2010,Median income ($),29328,2011
5901028,Kimberley,Income of individuals in 2010,Median total income ($),31328,2011
5901028,Kimberley,Income of households in 2010,Median household total income ($),57940,2011
5901028,Kimberley,Income of households in 2010,Median household total income ($),31590,2011
5901028,Kimberley,Income of households in 2010,Median household total income ($),69685,2011
5901035,East Kootenay C,Labour force status,Employment rate,63.7,2011
5901035,East Kootenay C,Labour force status,Unemployment rate,7.1,2011
5901035,East Kootenay C,Income of individuals in 2010,Median income ($),34753,2011
5901035,East Kootenay C,Income of individuals in 2010,Median total income ($),35565,2011
5901035,East Kootenay C,Income of households in 2010,Median household total income ($),80663,2011
5901035,East Kootenay C,Income of households in 2010,Median household total income ($),39893,2011
5901035,East Kootenay C,Income of households in 2010,Median household total income ($),83908,2011
5901039,Invermere,Labour force status,Employment rate,61.2,2011
5901039,Invermere,Labour force status,Unemployment rate,11.7,2011
5901039,Invermere,Income of individuals in 2010,Median income ($),37042,2011
5901039,Invermere,Income of individuals in 2010,Median total income ($),32351,2011
5901039,Invermere,Income of households in 2010,Median household total income ($),70917,2011
5901039,Invermere,Income of households in 2010,Median household total income ($),32503,2011
5901039,Invermere,Income of households in 2010,Median household total income ($),88564,2011
5901046,East Kootenay F,Labour force status,Employment rate,61,2011
5901046,East Kootenay F,Labour force status,Unemployment rate,6.2,2011
5901046,East Kootenay F,Income of individuals in 2010,Median income ($),34431,2011
5901046,East Kootenay F,Income of individuals in 2010,Median total income ($),41572,2011
5901046,East Kootenay F,Income of households in 2010,Median household total income ($),74207,2011
5901046,East Kootenay F,Income of households in 2010,Median household total income ($),50049,2011
5901046,East Kootenay F,Income of households in 2010,Median household total income ($),82832,2011
5901801,Tobacco Plains 2,Labour force status,Employment rate,60,2011
5901801,Tobacco Plains 2,Labour force status,Unemployment rate,28.6,2011
5901801,Tobacco Plains 2,Income of individuals in 2010,Median income ($),NA,2011
5901801,Tobacco Plains 2,Income of individuals in 2010,Median total income ($),NA,2011
5901801,Tobacco Plains 2,Income of households in 2010,Median household total income ($),NA,2011
5901801,Tobacco Plains 2,Income of households in 2010,Median household total income ($),NA,2011
5901803,Kootenay 1,Labour force status,Employment rate,53.3,2011
5901803,Kootenay 1,Labour force status,Unemployment rate,25,2011
5901803,Kootenay 1,Income of individuals in 2010,Median income ($),NA,2011
5901803,Kootenay 1,Income of individuals in 2010,Median total income ($),NA,2011
5901803,Kootenay 1,Income of households in 2010,Median household total income ($),NA,2011
5901803,Kootenay 1,Income of households in 2010,Median household total income ($),NA,2011
5901804,Columbia Lake 3,Labour force status,Employment rate,54.2,2011
5901804,Columbia Lake 3,Labour force status,Unemployment rate,13.3,2011
5901804,Columbia Lake 3,Income of individuals in 2010,Median income ($),NA,2011
5901804,Columbia Lake 3,Income of individuals in 2010,Median total income ($),NA,2011
5901804,Columbia Lake 3,Income of households in 2010,Median household total income ($),NA,2011
5901804,Columbia Lake 3,Income of households in 2010,Median household total income ($),NA,2011
5901806,Shuswap,Labour force status,Employment rate,59.2,2011
5901806,Shuswap,Labour force status,Unemployment rate,9.4,2011
5901806,Shuswap,Income of individuals in 2010,Median income ($),26799,2011
5901806,Shuswap,Income of individuals in 2010,Median total income ($),26072,2011
5901806,Shuswap,Income of households in 2010,Median household total income ($),47902,2011
5901806,Shuswap,Income of households in 2010,Median household total income ($),26009,2011
5901806,Shuswap,Income of households in 2010,Median household total income ($),56638,2011
5903004,Creston,Labour force status,Employment rate,51.6,2011
5903004,Creston,Labour force status,Unemployment rate,13.7,2011
5903004,Creston,Income of individuals in 2010,Median income ($),23349,2011
5903004,Creston,Income of individuals in 2010,Median total income ($),23778,2011
5903004,Creston,Income of households in 2010,Median household total income ($),46077,2011
5903004,Creston,Income of households in 2010,Median household total income ($),24514,2011
5903004,Creston,Income of households in 2010,Median household total income ($),65117,2011
5903013,Central Kootenay B,Labour force status,Employment rate,45.9,2011
5903013,Central Kootenay B,Labour force status,Unemployment rate,8.9,2011
5903013,Central Kootenay B,Income of individuals in 2010,Median income ($),24325,2011
5903013,Central Kootenay B,Income of individuals in 2010,Median total income ($),20388,2011
5903013,Central Kootenay B,Income of households in 2010,Median household total income ($),50513,2011
5903013,Central Kootenay B,Income of households in 2010,Median household total income ($),21510,2011
5903013,Central Kootenay B,Income of households in 2010,Median household total income ($),68075,2011
5903015,Nelson,Labour force status,Employment rate,60,2011
5903015,Nelson,Labour force status,Unemployment rate,8.6,2011
5903015,Nelson,Income of individuals in 2010,Median income ($),29284,2011
5903015,Nelson,Income of individuals in 2010,Median total income ($),26351,2011
5903015,Nelson,Income of households in 2010,Median household total income ($),48077,2011
5903015,Nelson,Income of households in 2010,Median household total income ($),30520,2011
5903015,Nelson,Income of households in 2010,Median household total income ($),67327,2011
5903023,Kaslo,Labour force status,Employment rate,40.7,2011
5903023,Kaslo,Labour force status,Unemployment rate,15.9,2011
5903023,Kaslo,Income of individuals in 2010,Median income ($),25995,2011
5903023,Kaslo,Income of individuals in 2010,Median total income ($),25626,2011
5903023,Kaslo,Income of households in 2010,Median household total income ($),38451,2011
5903023,Kaslo,Income of households in 2010,Median household total income ($),33026,2011
5903023,Kaslo,Income of households in 2010,Median household total income ($),44341,2011
5903032,New Denver,Labour force status,Employment rate,41.7,2011
5903032,New Denver,Labour force status,Unemployment rate,0,2011
5903032,New Denver,Income of individuals in 2010,Median income ($),24013,2011
5903032,New Denver,Income of individuals in 2010,Median total income ($),23937,2011
5903032,New Denver,Income of households in 2010,Median household total income ($),43124,2011
5903032,New Denver,Income of households in 2010,Median household total income ($),23937,2011
5903032,New Denver,Income of households in 2010,Median household total income ($),43230,2011
5903041,Central Kootenay E,Labour force status,Employment rate,60.6,2011
5903041,Central Kootenay E,Labour force status,Unemployment rate,12.2,2011
5903041,Central Kootenay E,Income of individuals in 2010,Median income ($),25067,2011
5903041,Central Kootenay E,Income of individuals in 2010,Median total income ($),20989,2011
5903041,Central Kootenay E,Income of households in 2010,Median household total income ($),46112,2011
5903041,Central Kootenay E,Income of households in 2010,Median household total income ($),26884,2011
5903041,Central Kootenay E,Income of households in 2010,Median household total income ($),55357,2011
5903043,Central Kootenay F,Labour force status,Employment rate,61.2,2011
5903043,Central Kootenay F,Labour force status,Unemployment rate,6.9,2011
5903043,Central Kootenay F,Income of individuals in 2010,Median income ($),33988,2011
5903043,Central Kootenay F,Income of individuals in 2010,Median total income ($),37801,2011
5903043,Central Kootenay F,Income of households in 2010,Median household total income ($),66893,2011
5903043,Central Kootenay F,Income of households in 2010,Median household total income ($),39187,2011
5903043,Central Kootenay F,Income of households in 2010,Median household total income ($),85134,2011
5903045,Castlegar,Labour force status,Employment rate,54.1,2011
5903045,Castlegar,Labour force status,Unemployment rate,9,2011
5903045,Castlegar,Income of individuals in 2010,Median income ($),28172,2011
5903045,Castlegar,Income of individuals in 2010,Median total income ($),29764,2011
5903045,Castlegar,Income of households in 2010,Median household total income ($),54279,2011
5903045,Castlegar,Income of households in 2010,Median household total income ($),29782,2011
5903045,Castlegar,Income of households in 2010,Median household total income ($),72919,2011
5903050,Nakusp,Labour force status,Employment rate,44.4,2011
5903050,Nakusp,Labour force status,Unemployment rate,12.1,2011
5903050,Nakusp,Income of individuals in 2010,Median income ($),23276,2011
5903050,Nakusp,Income of individuals in 2010,Median total income ($),20550,2011
5903050,Nakusp,Income of households in 2010,Median household total income ($),39148,2011
5903050,Nakusp,Income of households in 2010,Median household total income ($),20543,2011
5903050,Nakusp,Income of households in 2010,Median household total income ($),55289,2011
5903052,Central Kootenay H,Labour force status,Employment rate,55.2,2011
5903052,Central Kootenay H,Labour force status,Unemployment rate,14.2,2011
5903052,Central Kootenay H,Income of individuals in 2010,Median income ($),22632,2011
5903052,Central Kootenay H,Income of individuals in 2010,Median total income ($),16873,2011
5903052,Central Kootenay H,Income of households in 2010,Median household total income ($),41420,2011
5903052,Central Kootenay H,Income of households in 2010,Median household total income ($),16785,2011
5903052,Central Kootenay H,Income of households in 2010,Median household total income ($),57903,2011
5903058,Central Kootenay J,Labour force status,Employment rate,60.2,2011
5903058,Central Kootenay J,Labour force status,Unemployment rate,13.2,2011
5903058,Central Kootenay J,Income of individuals in 2010,Median income ($),36649,2011
5903058,Central Kootenay J,Income of individuals in 2010,Median total income ($),38275,2011
5903058,Central Kootenay J,Income of households in 2010,Median household total income ($),73289,2011
5903058,Central Kootenay J,Income of households in 2010,Median household total income ($),44073,2011
5903058,Central Kootenay J,Income of households in 2010,Median household total income ($),84854,2011
5903807,Creston 1,Labour force status,Employment rate,31.2,2011
5903807,Creston 1,Labour force status,Unemployment rate,25,2011
5903807,Creston 1,Income of individuals in 2010,Median income ($),NA,2011
5903807,Creston 1,Income of individuals in 2010,Median total income ($),NA,2011
5903807,Creston 1,Income of households in 2010,Median household total income ($),NA,2011
5903807,Creston 1,Income of households in 2010,Median household total income ($),NA,2011
5905005,Fruitvale,Labour force status,Employment rate,51.4,2011
5905005,Fruitvale,Labour force status,Unemployment rate,6.1,2011
5905005,Fruitvale,Income of individuals in 2010,Median income ($),32908,2011
5905005,Fruitvale,Income of individuals in 2010,Median total income ($),24780,2011
5905005,Fruitvale,Income of households in 2010,Median household total income ($),63666,2011
5905005,Fruitvale,Income of households in 2010,Median household total income ($),19909,2011
5905005,Fruitvale,Income of households in 2010,Median household total income ($),98352,2011
5905009,Montrose,Labour force status,Employment rate,55.9,2011
5905009,Montrose,Labour force status,Unemployment rate,9.9,2011
